record_name,window_idx,rr_ms_mean,rr_ms_std,rr_ms_min,rr_ms_max,rr_ms_25%,rr_ms_50%,rr_ms_75%
infant1,0,375.12,8.213080656949073,364.0,392.0,368.0,374.0,380.0
infant1,1,372.4,6.52780551931192,364.0,388.0,368.0,372.0,376.0
infant1,2,372.56,6.260207990285359,360.0,388.0,368.0,372.0,376.0
infant1,3,363.36,6.226211872857708,352.0,372.0,356.0,364.0,368.0
infant1,4,364.72,14.784216625323435,352.0,412.0,356.0,360.0,364.0
infant1,5,371.6,13.186263724816373,352.0,412.0,361.0,372.0,376.0
infant1,6,379.68,11.1051376233099,368.0,408.0,372.0,376.0,384.0
infant1,7,388.08,9.266661772621426,372.0,408.0,380.0,388.0,396.0
infant1,8,389.84,10.878475283319624,376.0,420.0,380.0,388.0,396.0
infant1,9,386.72,11.004711421449802,376.0,420.0,380.0,384.0,392.0
infant1,10,380.88,4.732173854345919,376.0,396.0,376.0,380.0,384.0
infant1,11,384.0,5.993193418115151,376.0,400.0,380.0,384.0,388.0
infant1,12,388.88,5.954384424737038,380.0,400.0,384.0,388.0,392.0
infant1,13,382.48,8.811495274900388,368.0,400.0,376.0,380.0,388.0
infant1,14,375.12,3.456080120008558,368.0,384.0,372.0,376.0,376.0
infant1,15,372.24,3.1723293444073164,368.0,380.0,369.0,372.0,376.0
infant1,16,369.36,2.632295498578519,364.0,376.0,368.0,368.0,372.0
infant1,17,372.0,5.598833697790122,364.0,388.0,368.0,372.0,376.0
infant1,18,370.8,6.324555320336759,364.0,388.0,364.0,368.0,376.0
infant1,19,366.8,2.710523708715754,364.0,372.0,364.0,368.0,368.0
infant1,20,365.52,3.512310711000985,360.0,372.0,364.0,364.0,368.0
infant1,21,363.44,3.0247954897979534,360.0,368.0,360.0,364.0,364.0
infant1,22,379.92,21.58593646477318,360.0,428.0,364.0,366.0,399.0
infant1,23,398.24,15.229616688866333,364.0,428.0,392.0,400.0,408.0
infant1,24,408.0,14.090089149643374,384.0,440.0,397.0,408.0,416.0
infant1,25,410.64,14.127350806726875,384.0,440.0,401.0,412.0,420.0
infant1,26,404.32,10.120579155808208,384.0,428.0,400.0,404.0,408.0
infant1,27,404.96,5.573113298393878,396.0,420.0,400.0,404.0,408.0
infant1,28,401.6,10.285714285714286,384.0,420.0,396.0,404.0,408.0
infant1,29,411.92,19.114947671646814,384.0,452.0,396.0,414.0,428.0
infant1,30,412.8,19.84429183335467,384.0,452.0,393.0,416.0,428.0
infant1,31,416.0,24.01360158794365,384.0,460.0,393.0,416.0,436.0
infant1,32,417.76,21.686598890295627,388.0,460.0,400.0,416.0,435.0
infant1,33,403.52,11.010644200694424,388.0,432.0,396.0,404.0,412.0
infant1,34,404.64,11.178989038297127,388.0,460.0,397.0,404.0,408.0
infant1,35,412.96,15.195273164066919,392.0,460.0,400.0,408.0,424.0
infant1,36,414.8,12.732731402946968,392.0,440.0,404.0,416.0,424.0
infant1,37,412.72,9.448118266380359,392.0,432.0,404.0,412.0,420.0
infant1,38,411.28,8.729588437361425,396.0,432.0,404.0,410.0,416.0
infant1,39,408.4,5.671266640365488,396.0,420.0,404.0,408.0,412.0
infant1,40,405.52,9.489500105110805,384.0,420.0,404.0,408.0,412.0
infant1,41,405.12,10.78290408044898,384.0,428.0,400.0,404.0,412.0
infant1,42,407.04,10.207960079251478,392.0,428.0,400.0,404.0,416.0
infant1,43,412.8,13.401187885209797,392.0,448.0,400.0,416.0,420.0
infant1,44,414.24,10.63409994464285,400.0,448.0,408.0,412.0,420.0
infant1,45,402.8,4.444671196029727,396.0,412.0,400.0,400.0,408.0
infant1,46,396.08,4.8816190020968095,384.0,404.0,393.0,396.0,400.0
infant1,47,391.52,4.824427638675528,384.0,404.0,388.0,392.0,396.0
infant1,48,394.64,7.860414903106552,384.0,412.0,388.0,394.0,400.0
infant1,49,397.68,7.755024704233075,384.0,412.0,392.0,396.0,404.0
infant1,50,398.4,7.228063223242009,384.0,412.0,392.0,400.0,404.0
infant1,51,399.84,5.108456374543316,388.0,412.0,396.0,400.0,404.0
infant1,52,397.36,6.790629798569827,384.0,412.0,393.0,398.0,400.0
infant1,53,389.28,8.97852312749822,380.0,412.0,384.0,386.0,392.0
infant1,54,388.32,10.92729217536139,376.0,428.0,380.0,384.0,392.0
infant1,55,388.48,11.157938511962444,376.0,428.0,380.0,384.0,392.0
infant1,56,380.0,5.714285714285714,372.0,392.0,376.0,380.0,384.0
infant1,57,381.52,8.661997695776227,372.0,404.0,376.0,380.0,384.0
infant1,58,391.28,9.953032560122425,376.0,412.0,384.0,390.0,396.0
infant1,59,397.36,6.886129210972161,384.0,412.0,396.0,396.0,403.0
infant1,60,393.92,6.114018685757831,384.0,412.0,388.0,392.0,396.0
infant1,61,392.16,4.6394932868993,384.0,404.0,388.0,392.0,396.0
infant1,62,396.32,4.33984858195372,388.0,408.0,392.0,396.0,400.0
infant1,63,394.8,4.589250972631145,388.0,408.0,392.0,394.0,396.0
infant1,64,390.64,5.634297305117026,380.0,404.0,388.0,392.0,392.0
infant1,65,381.52,15.288037206674147,364.0,456.0,372.0,380.0,388.0
infant1,66,373.44,17.810980332597172,364.0,460.0,368.0,368.0,372.0
infant1,67,376.16,13.375823453575654,364.0,460.0,368.0,376.0,380.0
infant1,68,376.08,4.159277802303507,368.0,384.0,372.0,376.0,380.0
infant1,69,373.36,3.6687316386913196,368.0,384.0,372.0,372.0,376.0
infant1,70,377.04,6.091010438610764,368.0,396.0,372.0,376.0,380.0
infant1,71,372.8,9.178501945262292,360.0,396.0,364.0,372.0,380.0
infant1,72,363.52,4.473231037892783,356.0,376.0,360.0,364.0,364.0
infant1,73,358.88,3.8789857710804894,352.0,368.0,356.0,360.0,360.0
infant1,74,353.12,3.9622710453393637,344.0,360.0,352.0,352.0,356.0
infant1,75,354.24,4.859495228678697,344.0,364.0,352.0,356.0,360.0
infant1,76,355.2,5.480950312357394,344.0,364.0,352.0,356.0,360.0
infant1,77,360.16,10.658636433064265,344.0,384.0,352.0,360.0,364.0
infant1,78,373.84,8.897052940182393,356.0,392.0,364.0,376.0,380.0
infant1,79,377.2,9.044109595053952,360.0,396.0,368.0,378.0,384.0
infant1,80,375.52,11.216314648123701,360.0,400.0,368.0,368.0,387.0
infant1,81,385.12,13.402162481617417,364.0,408.0,368.0,388.0,392.0
infant1,82,394.48,7.357461851614264,384.0,416.0,388.0,392.0,400.0
infant1,83,391.84,10.870968640543191,376.0,424.0,384.0,390.0,399.0
infant1,84,397.6,16.323264979526513,376.0,436.0,388.0,394.0,407.0
infant1,85,398.24,13.930673834003427,384.0,436.0,388.0,394.0,404.0
infant1,86,387.36,6.583095233789562,376.0,408.0,384.0,388.0,392.0
infant1,87,387.12,5.6735692253732175,376.0,404.0,384.0,388.0,392.0
infant1,88,390.96,4.6989360497882915,380.0,404.0,388.0,392.0,392.0
infant1,89,392.56,7.091702538739142,384.0,412.0,388.0,392.0,396.0
infant1,90,392.0,8.121525944886796,380.0,412.0,385.0,392.0,396.0
infant1,91,388.96,6.691328534082033,376.0,404.0,384.0,388.0,392.0
infant1,92,387.12,4.5920961377975855,376.0,396.0,384.0,388.0,388.0
infant1,93,389.36,5.2128569471087935,380.0,404.0,388.0,388.0,392.0
infant1,94,383.12,9.639713773377979,372.0,404.0,376.0,384.0,388.0
infant1,95,376.24,3.65088750742018,372.0,384.0,372.0,376.0,380.0
infant1,96,373.12,5.659162698578261,364.0,384.0,368.0,372.0,376.0
infant1,97,368.48,3.296504023281362,364.0,376.0,365.0,368.0,372.0
infant1,98,375.76,10.456049903851682,364.0,408.0,368.0,372.0,380.0
infant1,99,385.84,9.04266531053579,372.0,408.0,380.0,384.0,392.0
infant1,100,380.8,10.02853072844814,364.0,400.0,372.0,380.0,388.0
infant1,101,376.48,8.985793776618646,364.0,396.0,368.0,374.0,380.0
infant1,102,385.28,10.855338195880346,364.0,404.0,377.0,388.0,392.0
infant1,103,383.52,9.852462657029626,368.0,404.0,376.0,380.0,392.0
infant1,104,380.56,6.857619031085805,368.0,396.0,376.0,380.0,384.0
infant1,105,383.76,5.13713967900744,372.0,396.0,380.0,384.0,388.0
infant1,106,383.44,4.199902817145819,376.0,392.0,380.0,384.0,388.0
infant1,107,384.48,4.011412291379256,376.0,392.0,380.0,384.0,388.0
infant1,108,387.52,4.545641554594593,376.0,396.0,384.0,388.0,388.0
infant1,109,388.88,3.2616510155040768,384.0,396.0,388.0,388.0,392.0
infant1,110,387.04,2.8639917911180954,384.0,396.0,384.0,388.0,388.0
infant1,111,388.8,4.4262666813799045,380.0,396.0,384.0,388.0,392.0
infant1,112,388.24,5.262729950378629,380.0,400.0,384.0,388.0,392.0
infant1,113,382.8,6.324555320336759,368.0,400.0,380.0,384.0,388.0
infant1,114,376.4,6.869037302955031,368.0,392.0,372.0,376.0,380.0
infant1,115,377.92,9.222510172266063,368.0,408.0,372.0,376.0,380.0
infant1,116,383.04,19.70492531405925,364.0,448.0,369.0,376.0,388.0
infant1,117,383.04,19.91918365674207,364.0,448.0,369.0,376.0,391.0
infant1,118,378.24,9.567291216665758,364.0,404.0,372.0,376.0,380.0
infant1,119,371.68,5.1643993269462865,360.0,388.0,368.0,372.0,376.0
infant1,120,369.44,4.257813945187921,360.0,380.0,368.0,368.0,372.0
infant1,121,377.04,10.956239485949064,364.0,404.0,368.0,372.0,387.0
infant1,122,376.48,11.360942760535469,364.0,404.0,368.0,372.0,387.0
infant1,123,371.44,5.993738229117424,364.0,388.0,368.0,372.0,372.0
infant1,124,381.84,14.438271138518896,364.0,448.0,372.0,380.0,384.0
infant1,125,385.36,12.894801990234164,372.0,448.0,380.0,384.0,388.0
infant1,126,378.56,5.159338669849468,372.0,392.0,376.0,376.0,383.0
infant1,127,380.08,6.489677832323184,372.0,392.0,376.0,376.0,384.0
infant1,128,389.36,7.477203449724463,372.0,408.0,384.0,388.0,392.0
infant1,129,390.8,6.060915267313265,384.0,408.0,388.0,388.0,392.0
infant1,130,386.96,3.9432711997911127,380.0,396.0,384.0,388.0,388.0
infant1,131,378.88,8.123134008647707,364.0,396.0,372.0,380.0,384.0
infant1,132,369.52,4.190562769668367,364.0,380.0,368.0,368.0,372.0
infant1,133,369.52,3.8663382454942337,364.0,380.0,368.0,368.0,372.0
infant1,134,369.92,3.2566415654342875,364.0,380.0,368.0,368.0,372.0
infant1,135,365.76,3.6284589408885815,356.0,372.0,364.0,368.0,368.0
infant1,136,362.32,4.5059597722780165,356.0,372.0,360.0,360.0,364.0
infant1,137,369.04,11.761160570249166,356.0,404.0,360.0,368.0,372.0
infant1,138,368.0,12.229105462304398,352.0,404.0,360.0,364.0,372.0
infant1,139,361.12,3.8789857710804894,352.0,368.0,360.0,360.0,364.0
infant1,140,368.16,9.318316393435204,360.0,392.0,360.0,364.0,371.0
infant1,141,368.16,10.347749434893897,356.0,392.0,360.0,364.0,376.0
infant1,142,368.96,10.175921960938085,356.0,392.0,360.0,368.0,376.0
infant1,143,375.68,8.115090503349363,360.0,392.0,368.0,376.0,383.0
infant1,144,382.08,7.238897198680281,368.0,396.0,376.0,384.0,388.0
infant1,145,387.68,5.036357608349875,384.0,416.0,384.0,388.0,388.0
infant1,146,392.56,8.241656263105352,384.0,420.0,388.0,388.0,396.0
infant1,147,395.2,6.809357307321704,384.0,420.0,392.0,394.0,399.0
infant1,148,392.56,4.916278665654272,384.0,404.0,389.0,392.0,396.0
infant1,149,393.2,5.495824017620384,384.0,416.0,392.0,392.0,396.0
infant1,150,397.84,7.327220705377048,388.0,416.0,392.0,396.0,400.0
infant1,151,400.88,7.847110478204245,388.0,416.0,396.0,400.0,408.0
infant1,152,397.04,7.398179588553511,388.0,416.0,392.0,396.0,400.0
infant1,153,397.76,5.836409295910266,388.0,412.0,392.0,396.0,404.0
infant1,154,400.16,8.851057817560335,384.0,428.0,393.0,400.0,404.0
infant1,155,397.68,11.796644282444504,384.0,428.0,388.0,394.0,404.0
infant1,156,391.36,11.208160292521566,376.0,424.0,384.0,388.0,395.0
infant1,157,385.12,5.113567387702192,376.0,396.0,381.0,384.0,388.0
