sample_idx,symbol
1117892,[
2105380,[
3295899,[
4990848,[
5301183,[
6356582,[
9912207,[
12390208,[
12685106,[
15407103,[
15691703,[
16107411,[
16312219,[
16563763,[
17117123,[
18368408,[
20442789,[
21425027,[
21867676,[
23915651,[
24619121,[
24924093,[
26331412,[
26866660,[
27575395,[
28658345,[
28978755,[
29429370,[
30510130,[
30786083,[
31302141,[
31820539,[
34793825,[
36568871,[
37217611,[
39226941,[
39904337,[
41203915,[
42383236,[
43893394,[
44897317,[
45861173,[
48431421,[
49181258,[
50906197,[
52359877,[
53782397,[
54190161,[
54430375,[
54624995,[
55602222,[
56625432,[
57524092,[
58921087,[
59348994,[
60689730,[
62631520,[
62997578,[
65647510,[
66368058,[
66616046,[
68161359,[
68938406,[
71971179,[
72252599,[
72956022,[
73713064,[
75508533,[
75883719,[
77892675,[
78373264,[
78801359,[
