rr_ms,beat_sample
448.0,373
446.0,596
448.0,820
446.0,1043
444.0,1265
444.0,1487
444.0,1709
444.0,1931
444.0,2153
444.0,2375
448.0,2599
454.0,2826
452.0,3052
450.0,3277
450.0,3502
448.0,3726
458.0,3955
454.0,4182
450.0,4407
450.0,4632
450.0,4857
448.0,5081
446.0,5304
446.0,5527
442.0,5748
442.0,5969
442.0,6190
438.0,6409
440.0,6629
438.0,6848
438.0,7067
438.0,7286
438.0,7505
436.0,7723
438.0,7942
436.0,8160
434.0,8377
436.0,8595
438.0,8814
434.0,9031
438.0,9250
438.0,9469
444.0,9691
442.0,9912
440.0,10132
442.0,10353
440.0,10573
444.0,10795
440.0,11015
442.0,11236
442.0,11457
440.0,11677
440.0,11897
440.0,12117
442.0,12338
442.0,12559
440.0,12779
444.0,13001
440.0,13221
450.0,13446
446.0,13669
444.0,13891
448.0,14115
446.0,14338
446.0,14561
448.0,14785
444.0,15007
448.0,15231
448.0,15455
444.0,15677
448.0,15901
446.0,16124
446.0,16347
446.0,16570
446.0,16793
444.0,17015
448.0,17239
444.0,17461
444.0,17683
444.0,17905
444.0,18127
440.0,18347
440.0,18567
442.0,18788
442.0,19009
440.0,19229
438.0,19448
440.0,19668
438.0,19887
440.0,20107
438.0,20326
436.0,20544
438.0,20763
434.0,20980
438.0,21199
436.0,21417
468.0,21651
462.0,21882
482.0,22123
460.0,22353
462.0,22584
456.0,22812
460.0,23042
456.0,23270
454.0,23497
456.0,23725
458.0,23954
454.0,24181
456.0,24409
454.0,24636
458.0,24865
452.0,25091
450.0,25316
450.0,25541
448.0,25765
446.0,25988
446.0,26211
444.0,26433
444.0,26655
448.0,26879
458.0,27108
450.0,27333
450.0,27558
456.0,27786
452.0,28012
452.0,28238
454.0,28465
452.0,28691
454.0,28918
454.0,29145
452.0,29371
452.0,29597
456.0,29825
452.0,30051
452.0,30277
450.0,30502
452.0,30728
450.0,30953
448.0,31177
448.0,31401
448.0,31625
450.0,31850
444.0,32072
446.0,32295
440.0,32515
440.0,32735
440.0,32955
444.0,33177
446.0,33400
442.0,33621
456.0,33849
450.0,34074
474.0,34311
468.0,34545
466.0,34778
482.0,35019
482.0,35260
468.0,35494
466.0,35727
476.0,35965
486.0,36208
478.0,36447
472.0,36683
474.0,36920
486.0,37163
482.0,37404
482.0,37645
472.0,37881
472.0,38117
474.0,38354
482.0,38595
484.0,38837
484.0,39079
474.0,39316
474.0,39553
468.0,39787
466.0,40020
464.0,40252
462.0,40483
468.0,40717
472.0,40953
462.0,41184
462.0,41415
468.0,41649
476.0,41887
486.0,42130
486.0,42373
486.0,42616
474.0,42853
476.0,43091
478.0,43330
470.0,43565
472.0,43801
472.0,44037
472.0,44273
482.0,44514
486.0,44757
476.0,44995
490.0,45240
490.0,45485
480.0,45725
494.0,45972
494.0,46219
480.0,46459
478.0,46698
492.0,46944
480.0,47184
474.0,47421
468.0,47655
468.0,47889
